Time	NEval	Generation	f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
6.125038e-01	5.000000e+01	1.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
1.677085e+00	7.500000e+01	2.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
1.901242e+00	1.000000e+02	3.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
2.126681e+00	1.250000e+02	4.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
2.345858e+00	1.500000e+02	5.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
2.576305e+00	1.750000e+02	6.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
2.798790e+00	2.000000e+02	7.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
3.000245e+00	2.250000e+02	8.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
3.229116e+00	2.500000e+02	9.000000e+00	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
3.447339e+00	2.750000e+02	1.000000e+01	7.295753e-03	7.142336e-02	1.698259e+00	1.867986e+00	1.357470e+00	1.515480e+00	1.486265e+00	7.844540e-01	
3.663456e+00	3.000000e+02	1.100000e+01	6.930313e-03	1.528205e-01	4.769101e-01	1.790596e+00	6.717760e-01	1.439868e+00	7.855750e-01	1.523592e+00	
4.147703e+00	3.250000e+02	1.200000e+01	3.517100e-03	3.329486e-01	3.073924e-01	8.990967e-01	1.479626e+00	6.429514e-01	1.258219e+00	1.096750e+00	
4.618144e+00	3.500000e+02	1.300000e+01	3.517100e-03	3.329486e-01	3.073924e-01	8.990967e-01	1.479626e+00	6.429514e-01	1.258219e+00	1.096750e+00	
4.821309e+00	3.750000e+02	1.400000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
5.180916e+00	4.000000e+02	1.500000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
5.409801e+00	4.250000e+02	1.600000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
5.641363e+00	4.500000e+02	1.700000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
5.851369e+00	4.750000e+02	1.800000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
6.066952e+00	5.000000e+02	1.900000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
6.285898e+00	5.250000e+02	2.000000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
6.513156e+00	5.500000e+02	2.100000e+01	3.076209e-03	1.631965e-01	7.896391e-01	4.583778e-01	7.534098e-01	6.234372e-01	1.392418e+00	4.409310e-01	
