Time	NEval	Generation	f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
6.456306e-01	5.000000e+01	1.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
1.739657e+00	7.500000e+01	2.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
1.974695e+00	1.000000e+02	3.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
2.224478e+00	1.250000e+02	4.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
2.467103e+00	1.500000e+02	5.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
2.723610e+00	1.750000e+02	6.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
2.957634e+00	2.000000e+02	7.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
3.196538e+00	2.250000e+02	8.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
3.417894e+00	2.500000e+02	9.000000e+00	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
3.647678e+00	2.750000e+02	1.000000e+01	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
3.880005e+00	3.000000e+02	1.100000e+01	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
4.124969e+00	3.250000e+02	1.200000e+01	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
4.362059e+00	3.500000e+02	1.300000e+01	5.142273e-03	1.000000e-01	2.315944e+00	4.888977e+00	1.770599e+00	2.281766e+00	6.180597e-01	1.000000e+00	
4.602293e+00	3.750000e+02	1.400000e+01	4.817356e-03	1.000000e-01	1.695669e+00	1.861670e+00	1.965172e+00	1.072310e+00	8.891931e-01	1.000000e+00	
5.114656e+00	4.000000e+02	1.500000e+01	4.387052e-03	1.000000e-01	1.709689e+00	3.362856e+00	1.543281e+00	2.096388e+00	6.935619e-01	1.000000e+00	
5.585303e+00	4.250000e+02	1.600000e+01	3.512435e-03	1.000000e-01	1.529908e+00	3.330508e+00	1.985859e+00	2.048532e+00	1.368618e+00	1.000000e+00	
5.968249e+00	4.500000e+02	1.700000e+01	3.512435e-03	1.000000e-01	1.529908e+00	3.330508e+00	1.985859e+00	2.048532e+00	1.368618e+00	1.000000e+00	
6.199021e+00	4.750000e+02	1.800000e+01	3.512435e-03	1.000000e-01	1.529908e+00	3.330508e+00	1.985859e+00	2.048532e+00	1.368618e+00	1.000000e+00	
6.435110e+00	5.000000e+02	1.900000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
6.868715e+00	5.250000e+02	2.000000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
7.107787e+00	5.500000e+02	2.100000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
7.352335e+00	5.750000e+02	2.200000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
7.595362e+00	6.000000e+02	2.300000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
7.828257e+00	6.250000e+02	2.400000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
8.065967e+00	6.500000e+02	2.500000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
8.303422e+00	6.750000e+02	2.600000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
8.544333e+00	7.000000e+02	2.700000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
8.786511e+00	7.250000e+02	2.800000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
9.031313e+00	7.500000e+02	2.900000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
9.270084e+00	7.750000e+02	3.000000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
9.513306e+00	8.000000e+02	3.100000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
9.758204e+00	8.250000e+02	3.200000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
9.988939e+00	8.500000e+02	3.300000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
1.023730e+01	8.750000e+02	3.400000e+01	2.191208e-03	1.000000e-01	1.600541e+00	6.116640e+00	1.335833e+00	3.964245e+00	7.084530e-01	1.000000e+00	
